,title,year,runtime_minutes,genres,average_rating,domestic_gross,foreign_gross,total_gross,genre_1,genre_2,genre_3
465,The Lucky One,2012,101.0,"Drama,Romance",6.5,60500000.0,38900000.0,99400000.0,Drama,Romance,
1847,The Lunchbox,2013,104.0,"Drama,Romance",7.8,4200000.0,0.0,4200000.0,Drama,Romance,
2758,The Lure,2015,92.0,"Comedy,Drama,Fantasy",6.4,102000.0,0.0,102000.0,Comedy,Drama,Fantasy
2757,The Lure,2016,77.0,Documentary,7.5,102000.0,0.0,102000.0,Documentary,,
1334,The Magic of Belle Isle,2012,109.0,"Comedy,Drama",7.0,102000.0,0.0,102000.0,Comedy,Drama,
2905,The Man Who Invented Christmas,2017,104.0,"Biography,Comedy,Drama",7.0,5700000.0,0.0,5700000.0,Biography,Comedy,Drama
77,The Man Who Knew Infinity,2015,108.0,"Biography,Drama",7.2,3900000.0,8400000.0,12300000.0,Biography,Drama,
378,The Man with the Iron Fists,2012,95.0,Action,5.4,15600000.0,4099999.0,19699999.0,Action,,
2386,The Martian,2015,144.0,"Adventure,Drama,Sci-Fi",8.0,228400000.0,401700000.0,630100000.0,Adventure,Drama,Sci-Fi
801,The Master,2014,86.0,"Action,History",4.8,16399999.0,11900000.0,28299999.0,Action,History,
799,The Master,2012,138.0,Drama,7.1,16399999.0,11900000.0,28299999.0,Drama,,
800,The Master,2014,105.0,Documentary,8.0,16399999.0,11900000.0,28299999.0,Documentary,,
1186,The Mayor,2011,68.0,"Comedy,Documentary,Drama",8.9,96800.0,0.0,96800.0,Comedy,Documentary,Drama
1187,The Mayor,2016,130.0,Drama,6.3,96800.0,0.0,96800.0,Drama,,
1246,The Maze Runner,2014,113.0,"Action,Mystery,Sci-Fi",6.8,102400000.0,245900000.0,348300000.0,Action,Mystery,Sci-Fi
1342,The Measure of a Man,2011,105.0,Drama,7.3,112000.0,0.0,112000.0,Drama,,
1343,The Measure of a Man,2015,91.0,Drama,6.8,112000.0,0.0,112000.0,Drama,,
48,The Mechanic,2011,93.0,"Action,Crime,Thriller",6.6,29100000.0,47000000.0,76100000.0,Action,Crime,Thriller
2611,The Meddler,2015,103.0,"Comedy,Drama,Romance",6.3,4300000.0,0.0,4300000.0,Comedy,Drama,Romance
2682,The Meg,2018,113.0,"Action,Horror,Sci-Fi",5.7,145400000.0,384800000.0,530200000.0,Action,Horror,Sci-Fi
2282,The Mercy,2018,112.0,"Adventure,Biography,Drama",6.0,29500.0,4200000.0,4229500.0,Adventure,Biography,Drama
2274,The Midwife,2017,117.0,Drama,6.7,604000.0,0.0,604000.0,Drama,,
2273,The Midwife,2015,119.0,"Drama,Romance,War",6.0,604000.0,0.0,604000.0,Drama,Romance,War
463,The Mill and the Cross,2011,92.0,"Drama,History",7.0,312000.0,30300.0,342300.0,Drama,History,
2907,The Miseducation of Cameron Post,2018,91.0,Drama,6.6,905000.0,0.0,905000.0,Drama,,
